idVuelo,iataOrigen,iataDestino,horaSalidaUtc,horaLlegadaUtc,capacidadMaletas,cancelado
V000106,EKCH,SKBO,2026-01-02T15:54:00.000Z,2026-01-03T03:42:00.000Z,320,false
V000107,SKBO,EKCH,2026-01-03T01:31:00.000Z,2026-01-03T13:19:00.000Z,320,false
V000108,EKCH,SKBO,2026-01-02T18:23:00.000Z,2026-01-03T06:11:00.000Z,360,false
V000109,SKBO,EHAM,2026-01-02T06:12:00.000Z,2026-01-02T17:19:00.000Z,320,false
V000110,EHAM,SKBO,2026-01-02T00:32:00.000Z,2026-01-02T11:39:00.000Z,320,false
V000111,SKBO,EHAM,2026-01-02T11:01:00.000Z,2026-01-02T22:08:00.000Z,340,false
V000112,EHAM,SKBO,2026-01-02T08:06:00.000Z,2026-01-02T19:13:00.000Z,320,false
V000113,SKBO,EHAM,2026-01-02T21:36:00.000Z,2026-01-03T08:43:00.000Z,320,false
V000114,EHAM,SKBO,2026-01-02T12:49:00.000Z,2026-01-02T23:56:00.000Z,360,false
V000115,SKBO,EHAM,2026-01-03T01:13:00.000Z,2026-01-03T12:20:00.000Z,360,false
V000116,EHAM,SKBO,2026-01-02T18:44:00.000Z,2026-01-03T05:51:00.000Z,300,false
V000117,SKBO,VIDP,2026-01-02T10:44:00.000Z,2026-01-03T05:58:00.000Z,320,false
V000118,VIDP,SKBO,2026-01-01T21:50:00.000Z,2026-01-02T17:04:00.000Z,320,false
V000119,SKBO,VIDP,2026-01-02T15:33:00.000Z,2026-01-03T10:47:00.000Z,300,false
V000120,VIDP,SKBO,2026-01-02T05:02:00.000Z,2026-01-03T00:16:00.000Z,340,false
V000121,SKBO,VIDP,2026-01-03T00:05:00.000Z,2026-01-02T19:19:00.000Z,340,false
V000122,VIDP,SKBO,2026-01-02T17:11:00.000Z,2026-01-03T12:25:00.000Z,320,false
V000123,SKBO,OSDI,2026-01-02T09:14:00.000Z,2026-01-02T23:50:00.000Z,340,false
V000124,OSDI,SKBO,2026-01-01T21:54:00.000Z,2026-01-02T12:30:00.000Z,300,false
V000125,SKBO,OSDI,2026-01-02T16:13:00.000Z,2026-01-03T06:49:00.000Z,320,false
V000126,OSDI,SKBO,2026-01-02T05:47:00.000Z,2026-01-02T20:23:00.000Z,340,false
V000127,SKBO,OSDI,2026-01-02T22:13:00.000Z,2026-01-03T12:49:00.000Z,300,false
V000128,OSDI,SKBO,2026-01-02T11:23:00.000Z,2026-01-03T01:59:00.000Z,300,false
V000129,SKBO,OSDI,2026-01-03T04:42:00.000Z,2026-01-03T19:18:00.000Z,360,false
V000130,OSDI,SKBO,2026-01-02T17:53:00.000Z,2026-01-03T08:29:00.000Z,340,false
V000131,SKBO,OAKB,2026-01-02T09:24:00.000Z,2026-01-03T03:22:00.000Z,300,false
V000132,OAKB,SKBO,2026-01-02T01:52:00.000Z,2026-01-02T19:50:00.000Z,360,false
V000133,SKBO,OAKB,2026-01-02T15:06:00.000Z,2026-01-03T09:04:00.000Z,340,false
V000134,OAKB,SKBO,2026-01-02T06:17:00.000Z,2026-01-03T00:15:00.000Z,360,false
V000135,SKBO,OAKB,2026-01-02T17:47:00.000Z,2026-01-03T11:45:00.000Z,300,false
V000136,OAKB,SKBO,2026-01-02T09:18:00.000Z,2026-01-03T03:16:00.000Z,320,false
V000137,SKBO,OAKB,2026-01-03T03:46:00.000Z,2026-01-02T21:44:00.000Z,320,false
V000138,OAKB,SKBO,2026-01-02T17:07:00.000Z,2026-01-03T11:05:00.000Z,340,false
V000139,SKBO,OOMS,2026-01-02T08:49:00.000Z,2026-01-03T02:26:00.000Z,300,false
V000140,OOMS,SKBO,2026-01-01T20:43:00.000Z,2026-01-02T14:20:00.000Z,340,false
V000141,SKBO,OOMS,2026-01-02T15:03:00.000Z,2026-01-03T08:40:00.000Z,320,false
V000142,OOMS,SKBO,2026-01-02T08:17:00.000Z,2026-01-03T01:54:00.000Z,360,false
V000143,SKBO,OOMS,2026-01-03T02:04:00.000Z,2026-01-03T19:41:00.000Z,300,false
V000144,OOMS,SKBO,2026-01-02T16:22:00.000Z,2026-01-03T09:59:00.000Z,340,false
V000145,SKBO,OYSN,2026-01-02T08:51:00.000Z,2026-01-03T01:02:00.000Z,320,false
V000146,OYSN,SKBO,2026-01-02T00:47:00.000Z,2026-01-02T16:58:00.000Z,300,false
V000147,SKBO,OYSN,2026-01-02T19:44:00.000Z,2026-01-03T11:55:00.000Z,300,false
V000148,OYSN,SKBO,2026-01-02T09:43:00.000Z,2026-01-03T01:54:00.000Z,360,false
V000149,SKBO,OYSN,2026-01-03T03:29:00.000Z,2026-01-03T19:40:00.000Z,340,false
V000150,OYSN,SKBO,2026-01-02T17:13:00.000Z,2026-01-03T09:24:00.000Z,340,false
V000151,SKBO,OPKC,2026-01-02T10:17:00.000Z,2026-01-03T04:52:00.000Z,360,false
V000152,OPKC,SKBO,2026-01-01T19:18:00.000Z,2026-01-02T13:53:00.000Z,360,false
V000153,SKBO,OPKC,2026-01-02T15:37:00.000Z,2026-01-03T10:12:00.000Z,300,false
V000154,OPKC,SKBO,2026-01-02T03:57:00.000Z,2026-01-02T22:32:00.000Z,320,false
V000155,SKBO,OPKC,2026-01-02T18:01:00.000Z,2026-01-03T12:36:00.000Z,300,false
V000156,OPKC,SKBO,2026-01-02T09:00:00.000Z,2026-01-03T03:35:00.000Z,320,false
V000157,SKBO,OPKC,2026-01-02T23:25:00.000Z,2026-01-03T18:00:00.000Z,300,false
V000158,OPKC,SKBO,2026-01-02T13:31:00.000Z,2026-01-03T08:06:00.000Z,360,false
V000159,SKBO,UBBB,2026-01-02T05:10:00.000Z,2026-01-02T20:54:00.000Z,300,false
V000160,UBBB,SKBO,2026-01-01T23:25:00.000Z,2026-01-02T15:09:00.000Z,300,false
V000161,SKBO,UBBB,2026-01-02T11:57:00.000Z,2026-01-03T03:41:00.000Z,320,false
V000162,UBBB,SKBO,2026-01-02T04:37:00.000Z,2026-01-02T20:21:00.000Z,360,false
V000163,SKBO,UBBB,2026-01-02T18:21:00.000Z,2026-01-03T10:05:00.000Z,320,false
V000164,UBBB,SKBO,2026-01-02T12:02:00.000Z,2026-01-03T03:46:00.000Z,300,false
V000165,SKBO,UBBB,2026-01-03T02:36:00.000Z,2026-01-03T18:20:00.000Z,360,false
V000166,UBBB,SKBO,2026-01-02T21:41:00.000Z,2026-01-03T13:25:00.000Z,320,false
V000167,SKBO,OJAI,2026-01-02T10:19:00.000Z,2026-01-03T00:52:00.000Z,360,false
V000168,OJAI,SKBO,2026-01-02T01:36:00.000Z,2026-01-02T16:09:00.000Z,320,false
V000169,SKBO,OJAI,2026-01-02T15:44:00.000Z,2026-01-03T06:17:00.000Z,300,false
V000170,OJAI,SKBO,2026-01-02T11:54:00.000Z,2026-01-03T02:27:00.000Z,320,false
V000171,SKBO,OJAI,2026-01-02T22:32:00.000Z,2026-01-03T13:05:00.000Z,360,false
V000172,OJAI,SKBO,2026-01-02T16:27:00.000Z,2026-01-03T07:00:00.000Z,360,false
V000173,SEQM,SVMI,2026-01-02T08:48:00.000Z,2026-01-02T10:58:00.000Z,360,false
V000174,SVMI,SEQM,2026-01-02T07:38:00.000Z,2026-01-02T09:48:00.000Z,340,false
V000175,SEQM,SVMI,2026-01-02T15:31:00.000Z,2026-01-02T17:41:00.000Z,360,false
V000176,SVMI,SEQM,2026-01-02T17:15:00.000Z,2026-01-02T19:25:00.000Z,320,false
V000177,SEQM,SVMI,2026-01-03T02:50:00.000Z,2026-01-03T05:00:00.000Z,320,false
V000178,SVMI,SEQM,2026-01-02T22:14:00.000Z,2026-01-03T00:24:00.000Z,360,false
V000179,SEQM,SBBR,2026-01-02T09:19:00.000Z,2026-01-02T14:05:00.000Z,340,false
V000180,SBBR,SEQM,2026-01-02T06:13:00.000Z,2026-01-02T10:59:00.000Z,320,false
V000181,SEQM,SBBR,2026-01-02T13:36:00.000Z,2026-01-02T18:22:00.000Z,320,false
V000182,SBBR,SEQM,2026-01-02T10:36:00.000Z,2026-01-02T15:22:00.000Z,340,false
V000183,SEQM,SBBR,2026-01-02T17:41:00.000Z,2026-01-02T22:27:00.000Z,320,false
V000184,SBBR,SEQM,2026-01-02T15:13:00.000Z,2026-01-02T19:59:00.000Z,360,false
V000185,SEQM,SBBR,2026-01-03T02:02:00.000Z,2026-01-03T06:48:00.000Z,320,false
V000186,SBBR,SEQM,2026-01-02T23:11:00.000Z,2026-01-03T03:57:00.000Z,300,false
V000187,SEQM,SPIM,2026-01-02T05:23:00.000Z,2026-01-02T07:04:00.000Z,300,false
V000188,SPIM,SEQM,2026-01-02T05:13:00.000Z,2026-01-02T06:54:00.000Z,320,false
V000189,SEQM,SPIM,2026-01-02T16:32:00.000Z,2026-01-02T18:13:00.000Z,320,false
V000190,SPIM,SEQM,2026-01-02T13:10:00.000Z,2026-01-02T14:51:00.000Z,300,false
V000191,SEQM,SPIM,2026-01-02T19:35:00.000Z,2026-01-02T21:16:00.000Z,300,false
V000192,SPIM,SEQM,2026-01-02T22:11:00.000Z,2026-01-02T23:52:00.000Z,300,false
V000193,SEQM,SPIM,2026-01-03T04:10:00.000Z,2026-01-03T05:51:00.000Z,340,false
V000194,SPIM,SEQM,2026-01-03T02:09:00.000Z,2026-01-03T03:50:00.000Z,320,false
V000195,SEQM,SLLP,2026-01-02T05:51:00.000Z,2026-01-02T08:28:00.000Z,340,false
V000196,SLLP,SEQM,2026-01-02T08:24:00.000Z,2026-01-02T11:01:00.000Z,360,false
V000197,SEQM,SLLP,2026-01-02T16:32:00.000Z,2026-01-02T19:09:00.000Z,320,false
V000198,SLLP,SEQM,2026-01-02T13:04:00.000Z,2026-01-02T15:41:00.000Z,360,false
V000199,SEQM,SLLP,2026-01-02T18:15:00.000Z,2026-01-02T20:52:00.000Z,320,false
V000200,SLLP,SEQM,2026-01-02T20:12:00.000Z,2026-01-02T22:49:00.000Z,320,false
V000201,SEQM,SLLP,2026-01-02T23:01:00.000Z,2026-01-03T01:38:00.000Z,320,false
V000202,SLLP,SEQM,2026-01-02T23:47:00.000Z,2026-01-03T02:24:00.000Z,320,false
V000203,SEQM,SCEL,2026-01-02T10:14:00.000Z,2026-01-02T14:58:00.000Z,360,false
V000204,SCEL,SEQM,2026-01-02T04:17:00.000Z,2026-01-02T09:01:00.000Z,360,false
V000205,SEQM,SCEL,2026-01-02T18:52:00.000Z,2026-01-02T23:36:00.000Z,300,false
V000206,SCEL,SEQM,2026-01-02T11:21:00.000Z,2026-01-02T16:05:00.000Z,360,false
V000207,SEQM,SCEL,2026-01-03T03:28:00.000Z,2026-01-03T08:12:00.000Z,360,false
V000208,SCEL,SEQM,2026-01-02T22:04:00.000Z,2026-01-03T02:48:00.000Z,340,false
V000209,SEQM,SABE,2026-01-02T09:47:00.000Z,2026-01-02T15:12:00.000Z,360,false
V000210,SABE,SEQM,2026-01-02T06:24:00.000Z,2026-01-02T11:49:00.000Z,320,false
V000211,SEQM,SABE,2026-01-02T12:06:00.000Z,2026-01-02T17:31:00.000Z,360,false
V000212,SABE,SEQM,2026-01-02T14:10:00.000Z,2026-01-02T19:35:00.000Z,320,false
V000213,SEQM,SABE,2026-01-02T17:44:00.000Z,2026-01-02T23:09:00.000Z,320,false
V000214,SABE,SEQM,2026-01-02T15:59:00.000Z,2026-01-02T21:24:00.000Z,360,false
V000215,SEQM,SABE,2026-01-03T01:18:00.000Z,2026-01-03T06:43:00.000Z,320,false
V000216,SABE,SEQM,2026-01-03T01:30:00.000Z,2026-01-03T06:55:00.000Z,360,false
V000217,SEQM,SGAS,2026-01-02T12:22:00.000Z,2026-01-02T16:52:00.000Z,300,false
V000218,SGAS,SEQM,2026-01-02T06:27:00.000Z,2026-01-02T10:57:00.000Z,300,false
V000219,SEQM,SGAS,2026-01-02T16:44:00.000Z,2026-01-02T21:14:00.000Z,320,false
V000220,SGAS,SEQM,2026-01-02T13:35:00.000Z,2026-01-02T18:05:00.000Z,300,false
V000221,SEQM,SGAS,2026-01-02T23:18:00.000Z,2026-01-03T03:48:00.000Z,360,false
V000222,SGAS,SEQM,2026-01-02T21:22:00.000Z,2026-01-03T01:52:00.000Z,320,false
V000223,SEQM,SUAA,2026-01-02T07:45:00.000Z,2026-01-02T13:18:00.000Z,300,false
V000224,SUAA,SEQM,2026-01-02T03:25:00.000Z,2026-01-02T08:58:00.000Z,340,false
V000225,SEQM,SUAA,2026-01-02T11:01:00.000Z,2026-01-02T16:34:00.000Z,300,false
V000226,SUAA,SEQM,2026-01-02T12:12:00.000Z,2026-01-02T17:45:00.000Z,300,false
V000227,SEQM,SUAA,2026-01-02T18:10:00.000Z,2026-01-02T23:43:00.000Z,360,false
V000228,SUAA,SEQM,2026-01-02T18:21:00.000Z,2026-01-02T23:54:00.000Z,360,false
V000229,SEQM,SUAA,2026-01-03T04:20:00.000Z,2026-01-03T09:53:00.000Z,320,false
V000230,SUAA,SEQM,2026-01-03T02:35:00.000Z,2026-01-03T08:08:00.000Z,300,false
V000231,SEQM,LATI,2026-01-02T08:48:00.000Z,2026-01-02T22:07:00.000Z,320,false
V000232,LATI,SEQM,2026-01-02T05:37:00.000Z,2026-01-02T18:56:00.000Z,360,false
V000233,SEQM,LATI,2026-01-02T14:01:00.000Z,2026-01-03T03:20:00.000Z,300,false
V000234,LATI,SEQM,2026-01-02T10:02:00.000Z,2026-01-02T23:21:00.000Z,300,false
V000235,SEQM,LATI,2026-01-03T02:18:00.000Z,2026-01-03T15:37:00.000Z,340,false
V000236,LATI,SEQM,2026-01-02T16:08:00.000Z,2026-01-03T05:27:00.000Z,340,false
V000237,SEQM,EDDI,2026-01-02T08:10:00.000Z,2026-01-02T20:50:00.000Z,360,false
V000238,EDDI,SEQM,2026-01-01T22:28:00.000Z,2026-01-02T11:08:00.000Z,300,false
V000239,SEQM,EDDI,2026-01-02T16:35:00.000Z,2026-01-03T05:15:00.000Z,340,false
V000240,EDDI,SEQM,2026-01-02T04:05:00.000Z,2026-01-02T16:45:00.000Z,320,false
V000241,SEQM,EDDI,2026-01-02T20:04:00.000Z,2026-01-03T08:44:00.000Z,360,false
V000242,EDDI,SEQM,2026-01-02T14:03:00.000Z,2026-01-03T02:43:00.000Z,320,false
V000243,SEQM,EDDI,2026-01-03T03:24:00.000Z,2026-01-03T16:04:00.000Z,340,false
V000244,EDDI,SEQM,2026-01-02T19:38:00.000Z,2026-01-03T08:18:00.000Z,360,false
V000245,SEQM,LOWW,2026-01-02T08:41:00.000Z,2026-01-02T21:38:00.000Z,300,false
V000246,LOWW,SEQM,2026-01-02T03:16:00.000Z,2026-01-02T16:13:00.000Z,360,false
V000247,SEQM,LOWW,2026-01-02T17:02:00.000Z,2026-01-03T05:59:00.000Z,340,false
V000248,LOWW,SEQM,2026-01-02T09:33:00.000Z,2026-01-02T22:30:00.000Z,300,false
V000249,SEQM,LOWW,2026-01-03T01:52:00.000Z,2026-01-03T14:49:00.000Z,320,false
V000250,LOWW,SEQM,2026-01-02T16:26:00.000Z,2026-01-03T05:23:00.000Z,320,false
V000251,SEQM,EBCI,2026-01-02T14:46:00.000Z,2026-01-03T02:38:00.000Z,320,false
V000252,EBCI,SEQM,2026-01-02T02:55:00.000Z,2026-01-02T14:47:00.000Z,320,false
V000253,SEQM,UMMS,2026-01-02T05:41:00.000Z,2026-01-02T19:36:00.000Z,300,false
V000254,UMMS,SEQM,2026-01-02T03:54:00.000Z,2026-01-02T17:49:00.000Z,300,false
V000255,SEQM,UMMS,2026-01-02T13:58:00.000Z,2026-01-03T03:53:00.000Z,360,false
V000256,UMMS,SEQM,2026-01-02T07:35:00.000Z,2026-01-02T21:30:00.000Z,360,false
V000257,SEQM,UMMS,2026-01-03T03:21:00.000Z,2026-01-03T17:16:00.000Z,320,false
V000258,UMMS,SEQM,2026-01-02T14:31:00.000Z,2026-01-03T04:26:00.000Z,340,false
V000259,SEQM,LBSF,2026-01-02T05:22:00.000Z,2026-01-02T19:05:00.000Z,320,false
V000260,LBSF,SEQM,2026-01-02T01:33:00.000Z,2026-01-02T15:16:00.000Z,300,false
V000261,SEQM,LBSF,2026-01-02T11:28:00.000Z,2026-01-03T01:11:00.000Z,340,false
V000262,LBSF,SEQM,2026-01-02T05:33:00.000Z,2026-01-02T19:16:00.000Z,360,false
V000263,SEQM,LBSF,2026-01-02T19:23:00.000Z,2026-01-03T09:06:00.000Z,300,false
V000264,LBSF,SEQM,2026-01-02T09:28:00.000Z,2026-01-02T23:11:00.000Z,320,false
V000265,SEQM,LBSF,2026-01-03T00:49:00.000Z,2026-01-03T14:32:00.000Z,300,false
V000266,LBSF,SEQM,2026-01-02T19:40:00.000Z,2026-01-03T09:23:00.000Z,340,false
V000267,SEQM,LKPR,2026-01-02T07:35:00.000Z,2026-01-02T20:21:00.000Z,360,false
